ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
002922.SZ,20180102,19.66,19.66,19.66,19.66,17.87,1.7899999999999991,10.0168,37.0,72.742,1.0
002922.SZ,20180103,21.63,21.63,21.63,21.63,19.66,1.9699999999999989,10.0203,67.71,146.456,1.0
002922.SZ,20180104,23.79,23.79,23.79,23.79,21.63,2.16,9.9861,182.08,433.168,1.0
002922.SZ,20180105,26.17,26.17,26.17,26.17,23.79,2.3800000000000026,10.0042,382.48,1000.95,1.0
002922.SZ,20180108,28.79,28.79,28.79,28.79,26.17,2.6199999999999974,10.0115,542.0,1560.418,1.0
002922.SZ,20180109,31.67,31.67,31.67,31.67,28.79,2.8800000000000026,10.0035,835.32,2645.458,1.0
002922.SZ,20180110,34.46,34.84,33.0,34.84,31.67,3.1700000000000017,10.0095,205147.45,698016.179,1.0
002922.SZ,20180115,31.7,33.5,31.36,33.4,34.84,-1.4400000000000048,-4.1332,146210.19,469937.793,1.0
002922.SZ,20180116,32.47,35.6,31.87,33.23,33.4,-0.1700000000000017,-0.509,151071.55,512143.561,1.0
002922.SZ,20180117,31.68,32.8,29.97,31.08,33.23,-2.1499999999999986,-6.4701,121746.54,381972.579,1.0
002922.SZ,20180118,30.0,31.5,29.55,30.7,31.08,-0.379999999999999,-1.2227,97143.23,294862.467,1.0
002922.SZ,20180119,30.59,32.0,30.01,30.73,30.7,0.030000000000001137,0.0977,104369.2,324197.454,1.0
002922.SZ,20180122,29.9,29.92,27.66,27.66,30.73,-3.0700000000000003,-9.9902,100605.81,286054.072,1.0
002922.SZ,20180123,27.19,28.37,26.83,27.95,27.66,0.28999999999999915,1.0484,72443.38,199339.52,1.0
002922.SZ,20180124,28.03,28.9,28.0,28.03,27.95,0.08000000000000185,0.2862,68126.56,193112.67,1.0
002922.SZ,20180125,27.61,30.77,27.61,29.52,28.03,1.4899999999999984,5.3157,118564.02,347034.245,1.0
002922.SZ,20180126,28.6,29.2,28.3,28.42,29.52,-1.0999999999999979,-3.7263,68140.19,195228.339,1.0
002922.SZ,20180129,28.2,29.85,27.99,29.12,28.42,0.6999999999999993,2.4631,76725.16,222108.144,1.0
002922.SZ,20180130,28.7,31.4,28.7,29.95,29.12,0.8299999999999983,2.8503,94224.76,281957.558,1.0
002922.SZ,20180131,29.3,30.77,27.55,27.7,29.95,-2.25,-7.5125,100828.76,295569.998,1.0
002922.SZ,20180201,27.07,30.47,26.8,30.08,27.7,2.379999999999999,8.5921,133919.28,384813.609,1.0
002922.SZ,20180202,29.0,31.54,28.61,29.45,30.08,-0.629999999999999,-2.0944,142180.1,429537.808,1.0
002922.SZ,20180205,27.87,27.87,26.51,26.51,29.45,-2.9399999999999977,-9.983,80570.28,217540.112,1.0
002922.SZ,20180206,23.86,24.54,23.86,23.86,26.51,-2.650000000000002,-9.9962,61287.7,146783.538,1.0
002922.SZ,20180207,23.99,24.4,21.7,22.84,23.86,-1.0199999999999996,-4.2749,74024.76,171874.711,1.0
002922.SZ,20180208,22.8,23.49,22.52,22.98,22.84,0.14000000000000057,0.613,46913.23,108184.512,1.0
002922.SZ,20180209,22.0,22.69,20.86,21.01,22.98,-1.9699999999999989,-8.5727,56452.15,122707.894,1.0
002922.SZ,20180212,21.67,22.29,21.3,21.82,21.01,0.8099999999999987,3.8553,44219.71,96611.403,1.0
002922.SZ,20180213,21.99,22.48,21.42,21.68,21.82,-0.14000000000000057,-0.6416,45481.98,99728.379,1.0
002922.SZ,20180214,21.8,23.0,21.72,22.05,21.68,0.370000000000001,1.7066,52594.59,117855.362,1.0
002922.SZ,20180222,22.3,22.52,21.15,22.4,22.05,0.34999999999999787,1.5873,44284.21,98193.401,1.0
002922.SZ,20180223,22.16,22.82,22.04,22.78,22.4,0.38000000000000256,1.6964,49865.62,112475.671,1.0
002922.SZ,20180226,23.5,23.96,23.03,23.6,22.78,0.8200000000000003,3.5996,57127.95,134482.674,1.0
002922.SZ,20180227,23.33,24.38,23.18,23.84,23.6,0.23999999999999844,1.0169,60183.49,143637.309,1.0
002922.SZ,20180228,23.3,24.37,22.48,23.38,23.84,-0.46000000000000085,-1.9295,61759.39,143582.048,1.0
002922.SZ,20180301,22.73,23.65,22.71,23.45,23.38,0.07000000000000028,0.2994,47043.32,109873.131,1.0
002922.SZ,20180302,23.03,24.5,23.03,24.11,23.45,0.6600000000000001,2.8145,83126.27,198797.259,1.0
002922.SZ,20180305,24.13,24.44,23.46,24.38,24.11,0.2699999999999996,1.1199,67173.85,161518.201,1.0
002922.SZ,20180306,24.3,25.36,24.15,24.6,24.38,0.22000000000000242,0.9024,81945.44,202319.578,1.0
002922.SZ,20180307,24.27,24.77,24.14,24.48,24.6,-0.120000000000001,-0.4878,49911.77,121660.315,1.0
002922.SZ,20180308,24.4,25.36,24.31,25.23,24.48,0.75,3.0637,70058.45,174797.681,1.0
002922.SZ,20180309,25.37,25.85,25.0,25.51,25.23,0.28000000000000114,1.1098,67651.32,172211.568,1.0
002922.SZ,20180312,25.69,26.21,25.13,25.45,25.51,-0.060000000000002274,-0.2352,61198.39,156732.35,1.0
002922.SZ,20180313,25.4,25.41,24.0,24.02,25.45,-1.4299999999999997,-5.6189,62677.22,154683.414,1.0
002922.SZ,20180314,24.0,26.42,24.0,26.42,24.02,2.400000000000002,9.9917,88773.45,229864.576,1.0
002922.SZ,20180315,26.27,29.06,26.01,29.06,26.42,2.639999999999997,9.9924,182711.57,501533.048,1.0
002922.SZ,20180316,30.9,31.97,30.36,31.97,29.06,2.91,10.0138,171792.64,540403.792,1.0
002922.SZ,20180319,32.0,34.69,30.38,31.99,31.97,0.019999999999999574,0.0626,219354.61,707106.419,1.0
002922.SZ,20180320,31.18,33.95,30.6,32.66,31.99,0.6699999999999982,2.0944,186010.05,596269.599,1.0
002922.SZ,20180321,32.1,35.93,31.5,35.93,32.66,3.270000000000003,10.0122,230246.35,796223.233,1.0
002922.SZ,20180322,33.9,35.9,32.34,32.82,35.93,-3.1099999999999994,-8.6557,192921.25,658198.354,1.0
002922.SZ,20180323,29.54,30.95,29.54,29.54,32.82,-3.280000000000001,-9.9939,105821.62,316547.301,1.0
002922.SZ,20180326,27.41,30.5,26.61,29.89,29.54,0.3500000000000014,1.1848,117140.76,336700.552,1.0
002922.SZ,20180327,29.89,31.0,29.27,30.02,29.89,0.129999999999999,0.4349,119728.79,361431.51,1.0
002922.SZ,20180328,28.25,29.85,27.77,28.89,30.02,-1.129999999999999,-3.7642,108356.27,311139.83,1.0
002922.SZ,20180329,28.47,30.5,28.08,29.58,28.89,0.6899999999999977,2.3884,106658.21,310985.554,1.0
002922.SZ,20180330,29.5,30.2,29.01,29.14,29.58,-0.4399999999999977,-1.4875,82079.85,241256.017,1.0
002922.SZ,20180402,28.86,30.4,28.08,29.69,29.14,0.5500000000000007,1.8874,102076.02,299683.923,1.0
002922.SZ,20180403,28.65,28.98,27.73,28.32,29.69,-1.370000000000001,-4.6143,76483.6,217803.818,1.0
002922.SZ,20180404,28.56,29.8,28.5,28.8,28.32,0.4800000000000004,1.6949,90509.32,264065.688,1.0
002922.SZ,20180409,27.28,28.96,25.92,28.82,28.8,0.019999999999999574,0.0694,92112.67,251187.552,1.0
