ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
300686.SZ,20180102,22.8,22.95,22.47,22.78,22.7,0.08000000000000185,0.3524,7852.88,17815.137,1.0
300686.SZ,20180103,22.72,22.78,22.41,22.67,22.78,-0.10999999999999943,-0.4829,10758.76,24304.353,1.0
300686.SZ,20180104,22.49,22.71,22.32,22.36,22.67,-0.3100000000000023,-1.3674,11698.64,26285.748,1.0
300686.SZ,20180105,22.26,22.58,21.86,21.88,22.36,-0.4800000000000004,-2.1467,13051.78,28897.729,1.0
300686.SZ,20180108,21.85,22.05,21.4,22.04,21.88,0.16000000000000014,0.7313,10838.78,23499.387,1.0
300686.SZ,20180109,22.1,22.23,21.82,22.06,22.04,0.019999999999999574,0.0907,7259.02,16016.465,1.0
300686.SZ,20180110,22.2,22.2,21.33,21.5,22.06,-0.5599999999999987,-2.5385,9054.4,19557.426,1.0
300686.SZ,20180111,21.5,22.85,21.2,22.46,21.5,0.9600000000000009,4.4651,27858.96,62495.621,1.0
300686.SZ,20180112,22.16,22.6,21.9,22.44,22.46,-0.019999999999999574,-0.089,17922.06,39880.216,1.0
300686.SZ,20180115,22.39,23.63,21.7,22.51,22.44,0.07000000000000028,0.3119,29730.57,67332.895,1.0
300686.SZ,20180116,22.01,24.76,22.01,24.76,22.51,2.25,9.9956,68421.21,164439.298,1.0
300686.SZ,20180117,25.28,25.45,23.88,24.38,24.76,-0.38000000000000256,-1.5347,65837.81,162289.622,1.0
300686.SZ,20180118,24.02,24.56,23.8,24.27,24.38,-0.10999999999999943,-0.4512,29172.76,70340.443,1.0
300686.SZ,20180119,24.03,24.32,23.36,23.4,24.27,-0.870000000000001,-3.5847,29716.24,70849.819,1.0
300686.SZ,20180122,23.01,23.42,22.53,23.28,23.4,-0.11999999999999744,-0.5128,20535.36,47307.256,1.0
300686.SZ,20180123,22.95,23.67,22.95,23.55,23.28,0.2699999999999996,1.1598,17927.12,41920.768,1.0
300686.SZ,20180124,23.62,24.32,23.12,23.96,23.55,0.41000000000000014,1.741,25104.72,59749.818,1.0
300686.SZ,20180125,23.83,24.45,23.5,23.51,23.96,-0.4499999999999993,-1.8781,21033.62,50301.487,1.0
300686.SZ,20180126,23.45,23.61,22.78,22.78,23.51,-0.7300000000000004,-3.1051,13450.76,31151.507,1.0
300686.SZ,20180129,22.88,23.0,22.01,22.07,22.78,-0.7100000000000009,-3.1168,13998.44,31350.102,1.0
300686.SZ,20180130,22.07,22.36,22.03,22.17,22.07,0.10000000000000142,0.4531,7934.76,17566.225,1.0
300686.SZ,20180131,21.61,21.88,19.95,19.95,22.17,-2.2200000000000024,-10.0135,29116.88,59258.922,1.0
300686.SZ,20180201,19.8,20.0,18.28,18.4,19.95,-1.5500000000000007,-7.7694,20781.44,39158.269,1.0
300686.SZ,20180202,18.4,18.48,17.59,17.78,18.4,-0.6199999999999974,-3.3696,11086.2,19953.749,1.0
300686.SZ,20180205,17.38,18.18,17.3,17.91,17.78,0.129999999999999,0.7312,8718.76,15581.939,1.0
300686.SZ,20180206,17.53,18.38,17.36,17.94,17.91,0.030000000000001137,0.1675,15535.49,27742.324,1.0
300686.SZ,20180207,18.0,18.61,17.56,18.2,17.94,0.259999999999998,1.4493,12825.48,23309.143,1.0
300686.SZ,20180208,18.1,18.56,17.96,18.29,18.2,0.08999999999999986,0.4945,8576.43,15735.186,1.0
300686.SZ,20180209,17.8,17.95,16.52,16.91,18.29,-1.379999999999999,-7.5451,11572.64,20028.358,1.0
300686.SZ,20180212,16.89,17.56,16.89,17.54,16.91,0.629999999999999,3.7256,6899.64,12000.039,1.0
300686.SZ,20180213,17.7,17.86,17.42,17.5,17.54,-0.03999999999999915,-0.2281,7520.52,13290.353,1.0
300686.SZ,20180214,17.65,17.95,17.5,17.72,17.5,0.21999999999999886,1.2571,4347.76,7679.576,1.0
300686.SZ,20180222,17.64,18.25,17.64,17.92,17.72,0.20000000000000284,1.1287,3892.0,6982.117,1.0
300686.SZ,20180223,18.03,18.18,17.83,18.05,17.92,0.129999999999999,0.7254,4594.88,8285.153,1.0
300686.SZ,20180226,18.42,18.88,18.2,18.82,18.05,0.7699999999999996,4.2659,9614.6,17908.996,1.0
300686.SZ,20180227,18.62,18.9,18.62,18.79,18.82,-0.030000000000001137,-0.1594,8280.88,15561.668,1.0
300686.SZ,20180228,18.62,18.77,18.15,18.33,18.79,-0.46000000000000085,-2.4481,6846.0,12572.444,1.0
300686.SZ,20180301,18.15,18.75,18.11,18.68,18.33,0.3500000000000014,1.9094,9286.76,17275.773,1.0
300686.SZ,20180302,18.74,20.55,18.65,20.55,18.68,1.870000000000001,10.0107,15536.88,31534.272,1.0
300686.SZ,20180305,21.5,22.5,20.85,21.31,20.55,0.759999999999998,3.6983,56002.84,120412.535,1.0
300686.SZ,20180306,21.06,22.3,21.06,21.33,21.31,0.019999999999999574,0.0939,44813.04,96857.606,1.0
300686.SZ,20180307,20.5,20.88,20.35,20.73,21.33,-0.5999999999999979,-2.8129,25869.28,53496.965,1.0
300686.SZ,20180308,20.79,22.55,20.4,22.06,20.73,1.3299999999999983,6.4158,49600.2,108013.359,1.0
300686.SZ,20180309,21.57,22.4,21.4,22.27,22.06,0.21000000000000085,0.9519,45772.16,100338.166,1.0
300686.SZ,20180312,22.18,23.44,21.9,22.55,22.27,0.28000000000000114,1.2573,42620.24,95833.862,1.0
