ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
003037.SZ,20210204,7.66,9.19,7.66,9.19,6.38,2.8099999999999996,44.0439,5301.03,4852.712,1.0
003037.SZ,20210205,10.11,10.11,10.11,10.11,9.19,0.9199999999999999,10.0109,1706.36,1725.129,1.0
003037.SZ,20210208,11.12,11.12,11.12,11.12,10.11,1.0099999999999998,9.9901,3498.71,3890.565,1.0
003037.SZ,20210209,12.23,12.23,12.23,12.23,11.12,1.1100000000000012,9.982,2013.71,2462.767,1.0
003037.SZ,20210210,13.45,13.45,11.89,12.6,12.23,0.3699999999999992,3.0253,349649.25,436188.54,1.0
003037.SZ,20210218,11.8,13.86,11.55,13.86,12.6,1.2599999999999998,10.0,334254.2,425501.37,1.0
003037.SZ,20210219,13.37,15.0,13.02,13.55,13.86,-0.3099999999999987,-2.2367,343968.99,479953.866,1.0
003037.SZ,20210222,13.21,14.47,13.02,14.18,13.55,0.629999999999999,4.6494,286203.78,389825.028,1.0
003037.SZ,20210223,13.85,14.17,13.1,13.23,14.18,-0.9499999999999993,-6.6996,204456.62,279325.205,1.0
003037.SZ,20210224,13.16,13.17,12.31,12.48,13.23,-0.75,-5.6689,157685.91,199879.998,1.0
003037.SZ,20210225,12.55,12.79,12.37,12.43,12.48,-0.05000000000000071,-0.4006,94236.72,118440.314,1.0
003037.SZ,20210226,12.05,13.49,11.9,13.12,12.43,0.6899999999999995,5.5511,183255.71,236782.273,1.0
003037.SZ,20210301,12.97,14.0,12.78,13.48,13.12,0.3600000000000012,2.7439,190884.16,253524.178,1.0
003037.SZ,20210302,13.3,14.38,13.24,14.0,13.48,0.5199999999999996,3.8576,237829.49,330725.951,1.0
003037.SZ,20210303,13.68,14.33,13.46,14.2,14.0,0.1999999999999993,1.4286,196422.0,272897.314,1.0
003037.SZ,20210304,14.1,14.69,13.93,14.04,14.2,-0.16000000000000014,-1.1268,197376.64,281299.354,1.0
003037.SZ,20210305,13.7,14.5,13.17,13.22,14.04,-0.8199999999999985,-5.8405,172792.05,237155.098,1.0
003037.SZ,20210308,13.15,13.67,12.99,13.25,13.22,0.02999999999999936,0.2269,131327.41,175282.115,1.0
003037.SZ,20210309,12.98,13.59,12.37,13.14,13.25,-0.10999999999999943,-0.8302,137493.92,180428.84,1.0
003037.SZ,20210310,12.91,13.36,12.38,12.44,13.14,-0.7000000000000011,-5.3272,116237.71,148691.547,1.0
003037.SZ,20210311,12.76,13.68,12.63,13.68,12.44,1.2400000000000002,9.9678,102566.91,137972.852,1.0
003037.SZ,20210312,14.48,14.98,13.9,14.23,13.68,0.5500000000000007,4.0205,311748.18,450045.166,1.0
