ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
603708.SH,20180102,26.5598,26.8515,25.8305,26.3078,26.5465,-0.23870000000000147,-0.8992,37503.02,74000.179,1.326
603708.SH,20180103,26.3078,27.183,26.1222,26.9974,26.3078,0.6895999999999987,2.6213,42372.6,86219.331,1.326
603708.SH,20180104,27.0902,28.8935,26.7189,27.9521,26.9974,0.9547000000000025,3.5363,76280.79,160485.58,1.326
603708.SH,20180105,27.7399,28.7212,27.4482,27.8327,27.9521,-0.1194000000000024,-0.4272,38888.79,81917.235,1.326
603708.SH,20180108,27.846,28.4427,27.3952,28.204,27.8327,0.3713000000000015,1.334,58000.65,121810.511,1.326
603708.SH,20180109,28.1377,29.172,28.0316,28.5355,28.204,0.33149999999999835,1.1754,63534.7,138292.924,1.326
603708.SH,20180110,28.509,29.4505,28.1908,29.0261,28.5355,0.4906000000000006,1.7193,55041.87,120402.49,1.326
603708.SH,20180111,28.7212,29.4372,28.5223,28.8272,29.0261,-0.1988999999999983,-0.6852,33967.2,74289.196,1.326
603708.SH,20180112,28.7212,28.8538,28.0316,28.2836,28.8272,-0.5436000000000014,-1.8857,35320.75,75513.912,1.326
603708.SH,20180115,28.2836,28.509,27.183,27.3156,28.2836,-0.968,-3.4225,31077.34,64643.034,1.326
603708.SH,20180116,27.183,28.0316,26.6526,27.8062,27.3156,0.4906000000000006,1.796,40156.61,83022.807,1.326
603708.SH,20180117,27.7267,28.7079,27.4349,28.456,27.8062,0.649799999999999,2.3369,32177.67,68428.658,1.326
603708.SH,20180118,28.8935,28.9068,27.1697,28.0184,28.456,-0.43759999999999977,-1.5378,49264.05,103350.802,1.326
603708.SH,20180119,27.488,28.2305,27.4084,27.541,28.0184,-0.4773999999999994,-1.7039,27866.0,58261.347,1.326
603708.SH,20180122,27.5543,28.9864,27.1963,28.9466,27.541,1.4055999999999997,5.1037,59132.66,127113.921,1.326
603708.SH,20180123,28.7875,29.9411,28.5886,29.5168,28.9466,0.5701999999999998,1.9698,60595.38,134077.276,1.326
603708.SH,20180124,30.0339,30.9488,29.1853,29.5963,29.5168,0.07949999999999946,0.2693,59546.09,135148.158,1.326
603708.SH,20180125,29.7952,30.2195,28.6151,28.6946,29.5963,-0.9016999999999982,-3.0467,48643.89,106379.784,1.326
603708.SH,20180126,28.509,29.4372,28.3234,28.9598,28.6946,0.2652000000000001,0.9242,38228.72,83303.443,1.326
603708.SH,20180129,28.6814,29.8085,28.1112,28.4825,28.9598,-0.4772999999999996,-1.6481,41884.65,91759.278,1.326
603708.SH,20180130,28.2438,29.6494,28.2438,29.2781,28.4825,0.7955999999999968,2.7933,42002.39,92590.421,1.326
603708.SH,20180131,28.9996,29.6361,28.6549,29.1322,29.2781,-0.14589999999999748,-0.4983,37873.63,83345.603,1.326
