ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
000037.SZ,20180102,39.613,40.1223,38.0285,39.8394,40.4053,-0.5658999999999992,-1.4006,25068.1,17544.1,5.659
000037.SZ,20180103,39.8394,41.0843,39.3866,40.5184,39.8394,0.679000000000002,1.7043,23582.1,16749.45,5.659
000037.SZ,20180104,40.575,40.7448,40.2355,40.575,40.5184,0.05660000000000309,0.1397,16698.01,11950.767,5.659
000037.SZ,20180105,40.6882,40.9146,40.2355,40.575,40.575,0.0,0.0,12310.1,8828.962,5.659
000037.SZ,20180108,40.575,40.6316,39.4998,39.8959,40.575,-0.6791000000000054,-1.6737,19028.0,13397.048,5.659
000037.SZ,20180109,39.8394,39.9525,39.3866,39.5564,39.8959,-0.339500000000001,-0.851,10867.01,7608.814,5.659
000037.SZ,20180110,39.7828,39.7828,38.651,39.0471,39.5564,-0.5092999999999961,-1.2875,11956.0,8252.849,5.659
000037.SZ,20180111,39.33,39.7828,38.9339,39.4432,39.0471,0.396099999999997,1.0144,11461.01,7995.384,5.659
000037.SZ,20180112,39.613,40.1789,39.33,39.7262,39.4432,0.28300000000000125,0.7175,11278.0,7933.892,5.659
000037.SZ,20180115,39.5564,39.613,38.3114,38.3114,39.7262,-1.4147999999999996,-3.5614,12270.0,8410.424,5.659
000037.SZ,20180116,37.6889,39.3866,37.6889,38.1983,38.3114,-0.11309999999999576,-0.2952,17286.11,11746.527,5.659
000037.SZ,20180117,38.1417,38.1417,37.2362,37.9153,38.1983,-0.28300000000000125,-0.7409,17221.6,11449.742,5.659
000037.SZ,20180118,38.8773,38.8773,37.2928,37.6324,37.9153,-0.28290000000000504,-0.7461,14528.0,9652.483,5.659
000037.SZ,20180119,37.406,37.9719,37.406,37.7455,37.6324,0.11310000000000286,0.3005,12026.05,8022.725,5.659
000037.SZ,20180122,37.406,40.0091,37.406,38.9339,37.7455,1.1884000000000015,3.1485,24260.64,16681.106,5.659
000037.SZ,20180123,38.5944,38.9339,37.9719,38.1983,38.9339,-0.735599999999998,-1.8894,20359.69,13795.546,5.659
000037.SZ,20180124,38.1417,38.4246,37.6324,38.0285,38.1983,-0.16980000000000217,-0.4445,15030.75,10072.231,5.659
000037.SZ,20180125,38.0285,38.9339,38.0285,38.4246,38.0285,0.396099999999997,1.0416,22769.41,15484.413,5.659
000037.SZ,20180126,38.0851,38.5378,37.3494,37.7455,38.4246,-0.6790999999999983,-1.7674,29530.76,19653.139,5.659
000037.SZ,20180129,37.6889,37.6889,37.2928,37.406,37.7455,-0.339500000000001,-0.8994,14876.5,9845.998,5.659
000037.SZ,20180130,37.5192,37.6324,37.123,37.5192,37.406,0.11319999999999908,0.3026,9627.0,6351.396,5.659
000037.SZ,20180131,37.4626,37.4626,36.161,36.3874,37.5192,-1.1317999999999984,-3.0166,15474.0,9994.932,5.659
000037.SZ,20180201,36.5571,36.5571,32.7656,33.3881,36.3874,-2.999299999999998,-8.2427,36338.02,21714.672,5.659
000037.SZ,20180202,33.3315,33.3315,32.0865,32.2563,33.3881,-1.1317999999999984,-3.3898,21827.43,12584.665,5.659
000037.SZ,20180205,31.9733,33.954,30.1059,33.2183,32.2563,0.9619999999999962,2.9824,26154.09,15357.131,5.659
000037.SZ,20180206,31.9733,33.7842,31.9733,32.8788,33.2183,-0.339500000000001,-1.022,33176.65,19458.41,5.659
000037.SZ,20180207,33.1051,33.7276,32.0299,32.5392,32.8788,-0.33959999999999724,-1.0329,24767.54,14477.879,5.659
000037.SZ,20180208,32.3695,32.992,32.3695,32.8222,32.5392,0.28300000000000125,0.8697,13084.74,7571.555,5.659
000037.SZ,20180209,32.5392,32.5392,29.7663,30.4454,32.8222,-2.376800000000003,-7.2414,18637.89,10197.834,5.659
000037.SZ,20180212,30.6152,31.2943,30.3888,31.0679,30.4454,0.6225000000000023,2.0446,13833.89,7549.273,5.659
000037.SZ,20180213,31.0679,31.6338,31.0679,31.1245,31.0679,0.05659999999999954,0.1822,11974.0,6630.55,5.659
000037.SZ,20180214,31.5206,31.6904,31.1245,31.6338,31.1245,0.5092999999999996,1.6363,7439.94,4120.839,5.659
000037.SZ,20180222,31.5206,32.3129,31.4074,31.6904,31.6338,0.05659999999999954,0.1789,9464.1,5289.82,5.659
000037.SZ,20180223,31.8036,32.5392,31.5772,32.0865,31.6904,0.39610000000000056,1.2499,18126.26,10320.319,5.659
000037.SZ,20180226,32.0865,33.0486,32.0865,32.7656,32.0865,0.6790999999999983,2.1165,17584.19,10167.072,5.659
000037.SZ,20180227,33.2749,33.2749,32.3695,32.4261,32.7656,-0.339500000000001,-1.0361,12757.09,7378.126,5.659
000037.SZ,20180228,32.5392,32.709,31.747,32.709,32.4261,0.28290000000000504,0.8724,9018.29,5176.087,5.659
000037.SZ,20180301,32.7656,33.1617,32.3129,33.0486,32.709,0.33959999999999724,1.0382,13798.25,8022.064,5.659
000037.SZ,20180302,33.1051,34.4067,32.6524,34.4067,33.0486,1.3581000000000003,4.1094,28877.04,17190.68,5.659
000037.SZ,20180305,34.2935,34.5199,33.8408,34.1238,34.4067,-0.28289999999999793,-0.8222,17964.34,10824.913,5.659
000037.SZ,20180306,34.1238,35.4253,33.7276,35.4253,34.1238,1.3014999999999972,3.8141,34611.5,21227.997,5.659
000037.SZ,20180307,35.1424,38.9905,34.8594,38.9905,35.4253,3.5651999999999973,10.064,49292.07,32662.146,5.659
000037.SZ,20180308,40.6316,42.8952,40.2355,42.8952,38.9905,3.9047000000000054,10.0145,78340.39,57424.811,5.659
000037.SZ,20180309,47.1395,47.1395,42.782,43.4045,42.8952,0.5092999999999961,1.1873,215921.22,171260.456,5.659
000037.SZ,20180312,42.4991,44.8193,41.9898,43.9704,43.4045,0.5658999999999992,1.3038,126829.93,97203.675,5.659
000037.SZ,20180313,43.0084,43.8007,41.3107,41.82,43.9704,-2.1503999999999976,-4.8906,71752.59,54041.707,5.659
000037.SZ,20180314,41.8766,42.4425,40.6316,41.2541,41.82,-0.5658999999999992,-1.3532,54666.18,39955.488,5.659
000037.SZ,20180315,40.858,42.2727,40.4053,41.82,41.2541,0.5658999999999992,1.3717,63531.0,46495.047,5.659
000037.SZ,20180316,41.2541,42.1596,40.858,41.3673,41.82,-0.4527000000000001,-1.0825,38200.85,27790.244,5.659
000037.SZ,20180319,41.6502,41.6502,39.6696,40.4618,41.3673,-0.9055000000000035,-2.1889,38447.77,27485.084,5.659
000037.SZ,20180320,40.9712,41.3673,39.8394,40.7448,40.4618,0.28300000000000125,0.6994,37451.36,26844.156,5.659
000037.SZ,20180321,40.5184,41.4239,39.8959,40.1789,40.7448,-0.5658999999999992,-1.3889,39694.1,28521.094,5.659
000037.SZ,20180322,40.0657,40.6882,39.8394,40.575,40.1789,0.3961000000000041,0.9858,30638.58,21816.084,5.659
000037.SZ,20180323,38.3114,39.5564,36.5005,36.6137,40.575,-3.9613000000000014,-9.7629,56956.65,38213.203,5.659
000037.SZ,20180326,35.8781,40.2921,35.0858,40.2921,36.6137,3.6783999999999963,10.0465,98806.7,68757.551,5.659
000037.SZ,20180327,41.9898,42.9518,40.2921,41.1975,40.2921,0.9054000000000002,2.2471,126947.89,92611.698,5.659
000037.SZ,20180328,40.1789,41.4805,39.8959,40.1789,41.1975,-1.0185999999999993,-2.4725,49068.4,35103.502,5.659
000037.SZ,20180329,39.613,41.5371,39.613,40.4618,40.1789,0.28289999999999793,0.7041,43119.01,31091.684,5.659
000037.SZ,20180330,40.2921,41.1975,40.2355,40.4618,40.4618,0.0,0.0,26863.09,19233.014,5.659
000037.SZ,20180402,40.2921,41.7634,39.8959,40.575,40.4618,0.11320000000000618,0.2798,38727.41,27833.371,5.659
000037.SZ,20180403,40.2921,40.2921,39.1603,39.2169,40.575,-1.3581000000000003,-3.3471,32173.0,22402.903,5.659
000037.SZ,20180404,39.33,39.9525,38.5944,38.7076,39.2169,-0.5093000000000032,-1.2987,31100.0,21658.437,5.659
000037.SZ,20180409,38.4812,38.651,37.2362,38.1417,38.7076,-0.5658999999999992,-1.462,23170.36,15568.778,5.659
000037.SZ,20180410,38.1983,38.368,37.5758,38.0285,38.1417,-0.11319999999999908,-0.2968,16546.6,11093.672,5.659
000037.SZ,20180411,38.1417,41.82,38.1417,41.82,38.0285,3.791499999999999,9.9702,36928.48,27052.076,5.659
000037.SZ,20180412,41.82,43.1216,40.858,41.0843,41.82,-0.7357000000000014,-1.7592,105908.0,78724.956,5.659
000037.SZ,20180413,41.1409,41.9332,40.2921,41.5936,41.0843,0.5093000000000032,1.2396,54243.98,39445.443,5.659
000037.SZ,20180416,41.0277,41.7634,40.2921,40.858,41.5936,-0.7356000000000051,-1.7685,34384.67,24773.585,5.659
000037.SZ,20180417,40.7448,41.82,40.3487,40.4618,40.858,-0.39620000000000033,-0.9697,35976.87,26117.594,5.659
000037.SZ,20180418,40.9146,41.0843,38.1983,40.1789,40.4618,-0.28289999999999793,-0.6992,33773.01,23726.043,5.659
000037.SZ,20180419,39.7828,40.4053,39.613,40.0657,40.1789,-0.11319999999999908,-0.2817,22301.68,15744.162,5.659
000037.SZ,20180420,40.0657,40.0657,38.8207,38.8207,40.0657,-1.2449999999999974,-3.1074,25093.95,17419.491,5.659
000037.SZ,20180423,38.9339,42.7254,38.9339,39.8394,38.8207,1.0186999999999955,2.6241,44623.95,32130.882,5.659
000037.SZ,20180424,39.5564,40.1789,37.3494,40.1789,39.8394,0.339500000000001,0.8522,35790.01,25023.615,5.659
000037.SZ,20180425,40.0657,40.7448,39.5564,40.4618,40.1789,0.28289999999999793,0.7041,23350.94,16599.215,5.659
