ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
600192.SH,20180102,11.5292,11.7063,11.4761,11.6709,11.5292,0.14170000000000016,1.2291,22971.61,15045.66,1.771
600192.SH,20180103,11.6178,11.8657,11.6178,11.848,11.6709,0.17710000000000115,1.5174,30620.14,20346.16,1.771
600192.SH,20180104,11.7949,11.8657,11.7417,11.7949,11.848,-0.05310000000000059,-0.4482,26181.0,17446.828,1.771
600192.SH,20180105,11.8126,11.9543,11.7417,11.9011,11.7949,0.1061999999999994,0.9004,28301.14,18932.691,1.771
600192.SH,20180108,11.8834,11.8834,11.7417,11.8126,11.9011,-0.0884999999999998,-0.7436,19267.0,12830.327,1.771
600192.SH,20180109,11.8126,11.8303,11.7594,11.8126,11.8126,0.0,0.0,16824.08,11197.122,1.771
600192.SH,20180110,11.7772,11.7772,11.423,11.5823,11.8126,-0.23029999999999973,-1.9496,25396.64,16658.576,1.771
600192.SH,20180111,11.5646,11.7594,11.4584,11.7063,11.5823,0.12400000000000055,1.0706,26076.02,17085.068,1.771
600192.SH,20180112,11.724,11.724,11.6178,11.6355,11.7063,-0.0708000000000002,-0.6048,17785.8,11727.991,1.771
600192.SH,20180115,11.6355,11.6355,11.1219,11.1396,11.6355,-0.4959000000000007,-4.262,39348.2,25292.001,1.771
600192.SH,20180116,10.9979,11.2281,10.9979,11.1042,11.1396,-0.03539999999999921,-0.3178,23421.01,14678.439,1.771
600192.SH,20180117,11.1042,11.1219,10.8562,11.051,11.1042,-0.05320000000000036,-0.4791,31428.32,19493.071,1.771
600192.SH,20180118,11.051,11.1396,10.9625,11.0687,11.051,0.017699999999999605,0.1602,14782.01,9228.811,1.771
600192.SH,20180119,11.0687,11.1396,10.9625,11.051,11.0687,-0.017699999999999605,-0.1599,21822.56,13618.085,1.771
600192.SH,20180122,11.0333,11.1219,10.8562,11.0865,11.051,0.03549999999999898,0.3212,20084.01,12496.721,1.771
600192.SH,20180123,11.0865,11.1573,11.0687,11.1396,11.0865,0.05310000000000059,0.479,19065.01,11959.66,1.771
600192.SH,20180124,11.1219,11.2104,11.0156,11.175,11.1396,0.035400000000000986,0.3178,24940.81,15663.781,1.771
600192.SH,20180125,11.1573,11.3344,11.1042,11.2104,11.175,0.03539999999999921,0.3168,32165.21,20348.627,1.771
600192.SH,20180126,11.1927,11.1927,11.051,11.0865,11.2104,-0.12390000000000079,-1.1052,20075.0,12634.622,1.771
600192.SH,20180129,11.051,11.0865,10.8562,10.9094,11.0865,-0.17709999999999937,-1.5974,25731.5,15926.158,1.771
600192.SH,20180130,10.8917,10.9802,10.8562,10.9625,10.9094,0.05310000000000059,0.4867,12927.87,7969.319,1.771
600192.SH,20180131,10.9625,10.9625,10.3072,10.3958,10.9625,-0.5667000000000009,-5.1694,42904.32,25618.91,1.771
600192.SH,20180201,10.3958,10.4489,9.528,9.5811,10.3958,-0.8147000000000002,-7.8368,58840.46,32821.61,1.771
600192.SH,20180202,9.5634,9.5634,9.0498,9.1384,9.5811,-0.44269999999999854,-4.6206,66692.13,35026.567,1.771
600192.SH,20180205,9.0144,9.3155,8.9613,9.2446,9.1384,0.1061999999999994,1.1621,29075.11,15090.869,1.771
600192.SH,20180206,9.1384,9.1561,8.5539,8.5716,9.2446,-0.673,-7.2799,35163.15,17674.694,1.771
600192.SH,20180207,8.7665,8.8727,8.5185,8.7133,8.5716,0.14170000000000016,1.6531,39761.43,19528.28,1.771
600192.SH,20180208,8.7133,9.0852,8.6779,9.0321,8.7133,0.31879999999999953,3.6588,31107.96,15697.455,1.771
600192.SH,20180209,8.8904,9.0321,8.7133,8.855,9.0321,-0.17709999999999937,-1.9608,31232.66,15647.68,1.771
600192.SH,20180212,8.9613,9.1561,8.9613,9.0852,8.855,0.23019999999999996,2.5997,18191.49,9324.643,1.771
600192.SH,20180213,9.1561,9.2623,8.979,9.0321,9.0852,-0.05310000000000059,-0.5845,28106.94,14475.931,1.771
600192.SH,20180214,9.0675,9.1561,8.979,9.1206,9.0321,0.0884999999999998,0.9798,16456.48,8418.145,1.771
