ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
300384.SZ,20180102,84.3851,85.0968,81.9367,82.563,83.958,-1.394999999999996,-1.6615,5169.0,15009.889,2.847
300384.SZ,20180103,82.8192,85.41,81.3103,84.1858,82.563,1.622799999999998,1.9655,9005.0,26377.496,2.847
300384.SZ,20180104,83.047,83.7872,82.6769,82.9046,84.1858,-1.2811999999999983,-1.5219,4530.93,13215.159,2.847
300384.SZ,20180105,83.1609,83.3602,82.563,82.8192,82.9046,-0.08540000000000703,-0.103,3306.0,9626.456,2.847
300384.SZ,20180108,83.0755,84.3281,82.8192,82.8762,82.8192,0.05700000000000216,0.0688,3920.98,11458.691,2.847
300384.SZ,20180109,82.563,83.1324,81.2819,81.9936,82.8762,-0.8825999999999965,-1.065,5426.36,15615.058,2.847
300384.SZ,20180110,82.1075,82.1075,80.0007,80.2854,81.9936,-1.708200000000005,-2.0833,4323.6,12278.552,2.847
300384.SZ,20180111,80.2854,82.4491,79.1466,82.3922,80.2854,2.106800000000007,2.6241,7883.62,22485.284,2.847
300384.SZ,20180112,82.4206,83.047,81.0826,81.9936,82.3922,-0.39860000000000184,-0.4838,7046.2,20243.546,2.847
300384.SZ,20180115,81.8512,81.8512,76.8975,77.1537,81.9936,-4.8399,-5.9028,5726.11,15853.314,2.847
300384.SZ,20180116,77.1537,77.6092,74.3067,75.0469,77.1537,-2.106800000000007,-2.7307,9480.8,25179.964,2.847
300384.SZ,20180117,74.7338,75.7302,73.111,74.3067,75.0469,-0.7401999999999873,-0.9863,7629.42,19919.95,2.847
300384.SZ,20180118,73.7373,74.7907,73.054,73.3957,74.3067,-0.9110000000000014,-1.226,8535.08,22104.238,2.847
300384.SZ,20180119,74.1359,75.3886,73.3957,73.6804,73.3957,0.28470000000000084,0.3879,8290.8,21568.673,2.847
300384.SZ,20180122,73.6804,75.3886,72.2569,75.3316,73.6804,1.6511999999999887,2.241,11753.5,30554.307,2.847
300384.SZ,20180123,74.8192,75.3601,73.4526,73.6234,75.3316,-1.7081999999999908,-2.2676,7799.7,20343.444,2.847
