aggregator_type,best_model_path,dropout,feat_name,gpu,lr,model_path_dir,n_epochs,n_hidden,n_layers,shuffle,weight_decay,loss,acc
pool,Graph_ckpt/best_model_0_20211105-07-28,0.7,feat-all6,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.700554518,0.528107148
pool,Graph_ckpt/best_model_20211103-14-15,0.2,feat-all2,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,23.84171463,0.528107148
gcn,Graph_ckpt/best_model_0_20211105-16-35,0.2,feat-all4,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,1.072127177,0.528059143
lstm,Graph_ckpt/best_model_20211103-13-04,0.2,feat-all2,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.977269852,0.528011137
mean,Graph_ckpt/best_model_0_20211110-20-29,0.7,feat-all2,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.739475817,0.527867121
mean,Graph_ckpt/best_model_0_20211110-05-25,0.5,feat-all2,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.726064016,0.527819116
gcn,Graph_ckpt/best_model_20211110-01-52,0.2,feat-all5,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.712078389,0.527819116
gcn,Graph_ckpt/best_model_20211108-12-14,0.5,feat-all4,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.799326003,0.52777111
gcn,Graph_ckpt/best_model_20211106-05-38,0.5,feat-all3,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,1.352838492,0.527723105
lstm,Graph_ckpt/best_model_20211108-13-09,0.5,feat-all4,0,0.005,Graph_ckpt,20,16,3,TRUE,0.0005,0.693113805,0.527579089
mean,Graph_ckpt/best_model_0_20211105-13-18,0.2,feat-all2,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,1.877723846,0.527435073
pool,Graph_ckpt/best_model_20211110-06-18,0.2,feat-all6,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,15.52946137,0.527435073
mean,Graph_ckpt/best_model_20211111-02-26,0.7,feat-all,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.69206524,0.527387067
lstm,Graph_ckpt/best_model_20211108-12-36,0.5,feat-all4,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,2.122731119,0.527339062
lstm,Graph_ckpt/best_model_0_20211109-01-36,0.7,feat-all4,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.693471747,0.527291057
mean,Graph_ckpt/best_model_0_20211109-02-08,0.7,feat-all4,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.694985768,0.527195046
lstm,Graph_ckpt/best_model_0_20211111-00-32,0.7,feat-all4,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.702340882,0.52714704
gcn,Graph_ckpt/best_model_20211103-16-35,0.2,feat-all4,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,5.221325778,0.526955019
pool,Graph_ckpt/best_model_0_20211110-23-31,0.7,feat-all3,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,12.36346338,0.526859008
mean,Graph_ckpt/best_model_20211109-20-21,0.2,feat-all2,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.805468988,0.526618981
gcn,Graph_ckpt/best_model_20211103-16-53,0.2,feat-all4,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.694778917,0.526522971
gcn,Graph_ckpt/best_model_20211103-21-03,0.2,feat-all6,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.692901506,0.526522971
pool,Graph_ckpt/best_model_0_20211106-01-00,0.2,feat-all7,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,193.6900782,0.52642696
mean,Graph_ckpt/best_model_0_20211106-09-36,0.5,feat-all4,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.691456824,0.52642696
mean,Graph_ckpt/best_model_0_20211108-11-48,0.5,feat-all5,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.693574247,0.526330949
pool,Graph_ckpt/best_model_20211105-22-09,0.2,feat-all6,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.688275483,0.526330949
lstm,Graph_ckpt/best_model_20211103-19-21,0.2,feat-all5,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.697052258,0.526138928
gcn,Graph_ckpt/best_model_20211107-15-32,0.2,feat-all3,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.692859951,0.526138928
pool,Graph_ckpt/best_model_0_20211110-21-12,0.7,feat-all2,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,2.062997769,0.526042917
mean,Graph_ckpt/best_model_0_20211110-12-21,0.5,feat-all5,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.699556668,0.525898901
pool,Graph_ckpt/best_model_20211104-03-33,0.5,feat-all,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,82.91998982,0.52580289
gcn,Graph_ckpt/best_model_0_20211106-20-16,0.7,feat-all2,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.692347164,0.525706879
lstm,Graph_ckpt/best_model_0_20211108-08-59,0.5,feat-all4,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.692084781,0.525514858
gcn,Graph_ckpt/best_model_20211106-20-48,0.7,feat-all2,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.749008296,0.525514858
gcn,Graph_ckpt/best_model_20211103-12-46,0.2,feat-all2,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.789722637,0.525370842
gcn,Graph_ckpt/best_model_20211105-10-47,0.2,feat-all2,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.836802484,0.525370842
lstm,Graph_ckpt/best_model_20211104-10-08,0.5,feat-all5,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.700481946,0.525322836
lstm,Graph_ckpt/best_model_20211103-21-44,0.2,feat-all6,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.69233075,0.52517882
gcn,Graph_ckpt/best_model_0_20211108-03-35,0.5,feat-all2,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.705237113,0.524890788
pool,Graph_ckpt/best_model_20211109-18-25,0.2,feat-all,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,23.79379812,0.524890788
mean,Graph_ckpt/best_model_20211109-18-05,0.2,feat-all,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,1.167044201,0.524794777
mean,Graph_ckpt/best_model_0_20211104-19-55,0.7,feat-all,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.732478996,0.524746772
mean,Graph_ckpt/best_model_0_20211110-20-51,0.7,feat-all2,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.71778298,0.524506745
mean,Graph_ckpt/best_model_20211103-23-55,0.2,feat-all7,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.774990677,0.524458739
mean,Graph_ckpt/best_model_20211106-09-29,0.5,feat-all4,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,1.197096051,0.524458739
gcn,Graph_ckpt/best_model_0_20211104-23-14,0.7,feat-all3,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,1.111658556,0.524410734
mean,Graph_ckpt/best_model_0_20211104-07-26,0.5,feat-all2,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.761097416,0.524314723
mean,Graph_ckpt/best_model_0_20211105-17-46,0.2,feat-all4,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,4.582753711,0.524266718
gcn,Graph_ckpt/best_model_20211105-06-05,0.7,feat-all7,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,1.239008275,0.524266718
gcn,Graph_ckpt/best_model_0_20211109-12-39,0.2,feat-all2,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.749445854,0.524218712
mean,Graph_ckpt/best_model_20211105-00-34,0.7,feat-all4,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.791961527,0.524170707
lstm,Graph_ckpt/best_model_20211111-03-51,0.7,feat-all2,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.696848357,0.524170707
gcn,Graph_ckpt/best_model_20211106-03-17,0.5,feat-all2,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.70620529,0.524026691
lstm,Graph_ckpt/best_model_20211105-01-51,0.7,feat-all5,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.692059956,0.523882675
lstm,Graph_ckpt/best_model_0_20211110-20-04,0.7,feat-all2,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.699281691,0.523834669
pool,Graph_ckpt/best_model_20211105-03-06,0.7,feat-all5,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.806643703,0.523786664
gcn,Graph_ckpt/best_model_0_20211107-17-59,0.2,feat-all5,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.771665742,0.523738659
gcn,Graph_ckpt/best_model_0_20211109-19-26,0.2,feat-all5,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.725020096,0.523642648
gcn,Graph_ckpt/best_model_20211107-10-16,0.2,feat-all,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.687838757,0.523546637
gcn,Graph_ckpt/best_model_0_20211105-05-59,0.7,feat-all6,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.722521891,0.523402621
gcn,Graph_ckpt/best_model_0_20211106-03-39,0.5,feat-all2,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.756619222,0.523402621
mean,Graph_ckpt/best_model_20211106-02-13,0.5,feat-all,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,1.471029959,0.523354616
mean,Graph_ckpt/best_model_0_20211109-06-46,0.7,feat-all6,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.696100384,0.52330661
mean,Graph_ckpt/best_model_0_20211104-22-35,0.7,feat-all2,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.705492232,0.5232106
pool,Graph_ckpt/best_model_20211107-19-58,0.2,feat-all4,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,2.44801665,0.523162594
gcn,Graph_ckpt/best_model_0_20211110-21-32,0.7,feat-all3,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.919124263,0.523114589
pool,Graph_ckpt/best_model_20211104-18-05,0.7,feat-all,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.693623065,0.523066583
mean,Graph_ckpt/best_model_20211111-04-52,0.7,feat-all2,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.740551005,0.523018578
gcn,Graph_ckpt/best_model_0_20211107-13-13,0.2,feat-all3,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.728817647,0.522922567
gcn,Graph_ckpt/best_model_20211105-08-16,0.2,feat-all,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.717966604,0.522922567
pool,Graph_ckpt/best_model_20211106-00-06,0.2,feat-all7,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,1.097812901,0.522922567
pool,Graph_ckpt/best_model_0_20211105-03-06,0.7,feat-all4,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,30.42444415,0.522538524
gcn,Graph_ckpt/best_model_0_20211106-10-22,0.5,feat-all5,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.764553063,0.522154481
mean,Graph_ckpt/best_model_20211104-17-47,0.7,feat-all,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.805519232,0.521866449
gcn,Graph_ckpt/best_model_20211107-05-37,0.7,feat-all6,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.693117237,0.521866449
pool,Graph_ckpt/best_model_20211105-01-12,0.7,feat-all4,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.688919809,0.521818444
lstm,Graph_ckpt/best_model_20211104-08-30,0.5,feat-all4,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.724044075,0.521722433
gcn,Graph_ckpt/best_model_20211104-00-57,0.5,feat-all,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,1.5625475,0.521434401
lstm,Graph_ckpt/best_model_20211110-12-22,0.5,feat-all2,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.694963359,0.521242379
gcn,Graph_ckpt/best_model_0_20211109-03-11,0.7,feat-all5,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.711368741,0.521194374
mean,Graph_ckpt/best_model_0_20211104-22-06,0.7,feat-all2,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.943314996,0.521146368
mean,Graph_ckpt/best_model_20211105-21-30,0.2,feat-all6,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.69328641,0.521146368
pool,Graph_ckpt/best_model_20211106-12-26,0.5,feat-all5,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,8.846574951,0.521050358
mean,Graph_ckpt/best_model_0_20211106-11-55,0.5,feat-all5,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.692666846,0.521002352
mean,Graph_ckpt/best_model_0_20211110-00-27,0.2,feat-all7,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.764767291,0.520858336
pool,Graph_ckpt/best_model_20211104-20-17,0.7,feat-all2,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,4.458955623,0.520858336
mean,Graph_ckpt/best_model_0_20211109-18-21,0.2,feat-all4,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.729014436,0.520810331
lstm,Graph_ckpt/best_model_0_20211109-19-45,0.2,feat-all5,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.707224489,0.520810331
pool,Graph_ckpt/best_model_20211107-02-38,0.7,feat-all4,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,122.341729,0.52071432
lstm,Graph_ckpt/best_model_20211110-16-50,0.5,feat-all4,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.705383848,0.52071432
gcn,Graph_ckpt/best_model_20211106-00-46,0.5,feat-all,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.697266864,0.520618309
lstm,Graph_ckpt/best_model_0_20211111-02-38,0.7,feat-all5,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.702367416,0.520570304
mean,Graph_ckpt/best_model_20211104-10-59,0.5,feat-all5,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.71015076,0.520378282
lstm,Graph_ckpt/best_model_0_20211104-10-57,0.5,feat-all4,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.708248698,0.520282272
gcn,Graph_ckpt/best_model_0_20211110-19-44,0.7,feat-all2,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.693965696,0.520234266
gcn,Graph_ckpt/best_model_0_20211105-19-08,0.2,feat-all5,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.739940017,0.520186261
pool,Graph_ckpt/best_model_0_20211107-20-00,0.2,feat-all5,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,1.525045718,0.520186261
pool,Graph_ckpt/best_model_0_20211108-14-45,0.5,feat-all6,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,443.7769178,0.520138255
gcn,Graph_ckpt/best_model_0_20211108-10-55,0.5,feat-all5,0,0.005,Graph_ckpt,20,16,3,TRUE,0.0005,0.728803006,0.519994239
gcn,Graph_ckpt/best_model_20211105-03-49,0.7,feat-all6,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.906713218,0.519994239
pool,Graph_ckpt/best_model_20211103-12-09,0.2,feat-all,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,33.66008608,0.519946234
pool,Graph_ckpt/best_model_0_20211106-12-25,0.5,feat-all5,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.967167432,0.519898229
pool,Graph_ckpt/best_model_0_20211104-13-58,0.5,feat-all5,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.690203882,0.519850223
mean,Graph_ckpt/best_model_20211110-21-45,0.5,feat-all6,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.696505924,0.519802218
pool,Graph_ckpt/best_model_20211110-10-43,0.5,feat-all,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,520.1364382,0.519658202
gcn,Graph_ckpt/best_model_0_20211107-00-31,0.7,feat-all4,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,2.660391264,0.519562191
mean,Graph_ckpt/best_model_0_20211111-03-04,0.7,feat-all5,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.790305155,0.519418175
gcn,Graph_ckpt/best_model_0_20211104-21-21,0.7,feat-all2,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.688371338,0.519322164
gcn,Graph_ckpt/best_model_0_20211108-12-52,0.5,feat-all6,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.695120292,0.519082137
lstm,Graph_ckpt/best_model_0_20211110-11-33,0.5,feat-all5,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.698375252,0.518986126
mean,Graph_ckpt/best_model_20211103-18-06,0.2,feat-all4,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.741721134,0.518890116
pool,Graph_ckpt/best_model_0_20211104-16-20,0.5,feat-all6,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,56.83195785,0.51884211
mean,Graph_ckpt/best_model_0_20211106-04-47,0.5,feat-all2,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,1.582972416,0.518698094
gcn,Graph_ckpt/best_model_0_20211106-22-10,0.7,feat-all3,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.696500043,0.518650089
mean,Graph_ckpt/best_model_20211106-14-41,0.5,feat-all6,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.694016048,0.518506073
lstm,Graph_ckpt/best_model_0_20211110-09-09,0.5,feat-all4,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.701658957,0.518410062
gcn,Graph_ckpt/best_model_0_20211105-23-07,0.2,feat-all7,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,1.353350678,0.518314051
gcn,Graph_ckpt/best_model_20211103-18-38,0.2,feat-all5,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.746129443,0.51812203
mean,Graph_ckpt/best_model_20211110-17-21,0.5,feat-all4,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.899689036,0.51812203
pool,Graph_ckpt/best_model_20211107-07-39,0.7,feat-all6,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,71.1737144,0.518074024
lstm,Graph_ckpt/best_model_0_20211107-18-43,0.2,feat-all5,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.692528848,0.517833997
pool,Graph_ckpt/best_model_20211104-15-45,0.5,feat-all7,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,52.23492602,0.517785992
pool,Graph_ckpt/best_model_20211109-13-30,0.7,feat-all6,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.981153925,0.517737987
lstm,Graph_ckpt/best_model_20211110-19-06,0.5,feat-all5,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.698830569,0.517737987
pool,Graph_ckpt/best_model_0_20211105-05-17,0.7,feat-all5,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.737389998,0.517641976
mean,Graph_ckpt/best_model_0_20211108-21-36,0.7,feat-all2,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.694604608,0.517641976
mean,Graph_ckpt/best_model_0_20211108-07-13,0.5,feat-all3,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,3.66302574,0.517593971
pool,Graph_ckpt/best_model_20211104-01-12,0.2,feat-all7,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,10.5561308,0.517449954
gcn,Graph_ckpt/best_model_20211111-01-12,0.7,feat-all,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,1.375839666,0.517449954
mean,Graph_ckpt/best_model_0_20211105-20-00,0.2,feat-all5,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.824985601,0.517401949
mean,Graph_ckpt/best_model_0_20211106-23-27,0.7,feat-all3,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.702223807,0.517305938
mean,Graph_ckpt/best_model_0_20211109-14-01,0.2,feat-all2,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.802059288,0.517161922
pool,Graph_ckpt/best_model_0_20211106-10-03,0.5,feat-all4,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,35.89763139,0.517065911
pool,Graph_ckpt/best_model_0_20211109-20-52,0.2,feat-all5,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,1.923643945,0.517065911
gcn,Graph_ckpt/best_model_20211103-16-58,0.2,feat-all4,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,1.170962582,0.517017906
gcn,Graph_ckpt/best_model_0_20211111-04-12,0.7,feat-all6,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.925736565,0.516921895
lstm,Graph_ckpt/best_model_20211104-16-49,0.7,feat-all,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.693151431,0.516825884
mean,Graph_ckpt/best_model_20211103-15-39,0.2,feat-all3,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,1.139147086,0.516585858
pool,Graph_ckpt/best_model_0_20211106-05-28,0.5,feat-all2,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.80128175,0.516585858
lstm,Graph_ckpt/best_model_20211107-13-16,0.2,feat-all2,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.697402215,0.516585858
mean,Graph_ckpt/best_model_20211105-19-13,0.2,feat-all5,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.786668547,0.516537852
gcn,Graph_ckpt/best_model_20211109-06-25,0.7,feat-all4,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.724642582,0.516537852
mean,Graph_ckpt/best_model_20211110-07-59,0.2,feat-all7,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,1.223300051,0.516537852
lstm,Graph_ckpt/best_model_0_20211110-00-00,0.2,feat-all7,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.704188085,0.516489847
pool,Graph_ckpt/best_model_20211103-14-18,0.2,feat-all2,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,22.08124384,0.516441841
gcn,Graph_ckpt/best_model_0_20211111-01-58,0.7,feat-all5,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.749335103,0.516201815
pool,Graph_ckpt/best_model_20211111-00-33,0.5,feat-all7,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,46.79758803,0.516201815
lstm,Graph_ckpt/best_model_20211110-11-56,0.5,feat-all2,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.723069854,0.516153809
mean,Graph_ckpt/best_model_20211103-20-06,0.2,feat-all5,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.692301575,0.516057798
mean,Graph_ckpt/best_model_0_20211111-01-19,0.7,feat-all4,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.703727179,0.516057798
lstm,Graph_ckpt/best_model_20211103-19-58,0.2,feat-all5,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.695511,0.515961788
gcn,Graph_ckpt/best_model_20211110-11-35,0.5,feat-all2,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.906444807,0.515913782
mean,Graph_ckpt/best_model_0_20211104-11-41,0.5,feat-all4,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.696456533,0.515865777
lstm,Graph_ckpt/best_model_20211105-04-08,0.7,feat-all6,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.693736955,0.515865777
pool,Graph_ckpt/best_model_20211110-03-34,0.2,feat-all5,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,7.01428349,0.515817772
lstm,Graph_ckpt/best_model_20211108-23-04,0.7,feat-all,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.695482729,0.515769766
lstm,Graph_ckpt/best_model_20211111-01-31,0.7,feat-all,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.692910522,0.515769766
mean,Graph_ckpt/best_model_20211103-13-59,0.2,feat-all2,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.710200733,0.515721761
pool,Graph_ckpt/best_model_20211110-13-07,0.5,feat-all2,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,32.73097995,0.515721761
gcn,Graph_ckpt/best_model_0_20211104-14-18,0.5,feat-all6,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,8.121868858,0.51562575
pool,Graph_ckpt/best_model_20211105-17-09,0.2,feat-all4,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,55.70176728,0.51562575
lstm,Graph_ckpt/best_model_20211110-18-39,0.5,feat-all5,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.709799172,0.515529739
lstm,Graph_ckpt/best_model_0_20211110-04-37,0.5,feat-all2,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.694310414,0.515433729
lstm,Graph_ckpt/best_model_20211105-18-39,0.2,feat-all5,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.692664402,0.515433729
mean,Graph_ckpt/best_model_0_20211111-00-58,0.7,feat-all4,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.770454572,0.515385723
mean,Graph_ckpt/best_model_20211103-15-58,0.2,feat-all3,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.693338654,0.515241707
lstm,Graph_ckpt/best_model_20211105-22-47,0.2,feat-all7,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.693261109,0.515193702
mean,Graph_ckpt/best_model_20211106-11-56,0.5,feat-all5,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,1.179247201,0.515193702
gcn,Graph_ckpt/best_model_20211104-02-01,0.5,feat-all,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.751849727,0.515145696
lstm,Graph_ckpt/best_model_20211104-04-40,0.5,feat-all2,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.712904376,0.515049686
gcn,Graph_ckpt/best_model_20211109-16-50,0.2,feat-all,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,1.192303801,0.515049686
gcn,Graph_ckpt/best_model_20211104-16-28,0.7,feat-all,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,2.287881979,0.51500168
mean,Graph_ckpt/best_model_0_20211107-16-53,0.2,feat-all4,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.714970754,0.514905669
lstm,Graph_ckpt/best_model_20211104-04-19,0.5,feat-all2,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.694511836,0.514857664
mean,Graph_ckpt/best_model_20211103-22-35,0.2,feat-all6,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,1.269346188,0.514713648
