stock,influence_jyr_date,feature,label
000001,20190925,[0.5996963977813721],1
000001,20190926,[0.5950126647949219],0
000001,20190927,[0.6086370348930359],1
000001,20190930,[0.5066059231758118],0
000001,20191008,[0.5039449334144592],1
000001,20191009,[0.5478425025939941],1
000001,20191010,[0.5141519904136658],0
000001,20191011,[0.4580780267715454],1
000001,20191014,[0.5207022428512573],1
000001,20191015,[0.5687071084976196],0
000001,20191016,[0.4649665355682373],0
000001,20191017,[0.5274169445037842],0
000001,20191018,[0.549275279045105],0
000001,20191021,[0.5548367500305176],1
000001,20191022,[0.5115547180175781],0
000001,20191023,[0.5918158292770386],1
000001,20191025,[0.541914165019989],1
000001,20191028,[0.5676641464233398],0
000001,20191104,[0.6025363206863403],1
000001,20191108,[0.5954906344413757],0
000001,20191111,[0.5801907181739807],0
000001,20191114,[0.4734419882297516],0
000001,20191115,[0.48942920565605164],1
000001,20191118,[0.5930873155593872],1
000001,20191202,[0.5989949703216553],1
000001,20200220,[0.5317416787147522],1
000001,20200226,[0.6079530119895935],0
000001,20200302,[0.5640544891357422],1
000001,20200303,[0.6111915111541748],0
000001,20200309,[0.564262330532074],0
000001,20200312,[0.6197071671485901],0
000001,20200313,[0.5594921708106995],0
000001,20200316,[0.4892942011356354],0
000001,20200317,[0.6082329750061035],0
000001,20200318,[0.47246623039245605],0
000001,20200319,[0.4617636203765869],0
000001,20200320,[0.5811429023742676],1
000001,20200323,[0.5801641941070557],0
000001,20200324,[0.5099217295646667],1
000001,20200325,[0.5736160278320312],1
000001,20200326,[0.5525900721549988],1
000001,20200327,[0.670842170715332],1
000001,20200330,[0.6364725232124329],0
000001,20200331,[0.5919374823570251],0
000001,20200403,[0.5565226674079895],0
000001,20200407,[0.4699361324310303],1
000001,20200408,[0.4700109660625458],0
000001,20200409,[0.47013577818870544],0
000001,20200410,[0.4725226163864136],1
000001,20200413,[0.4595475196838379],0
000001,20200414,[0.46947959065437317],1
000001,20200415,[0.47787463665008545],1
000001,20200416,[0.5680007338523865],0
000001,20200417,[0.5133887529373169],1
000001,20200420,[0.4882867932319641],1
000001,20200421,[0.5327440500259399],1
000001,20200422,[0.5462419390678406],0
000001,20200423,[0.5275539755821228],1
000001,20200424,[0.6151648163795471],1
000001,20200427,[0.4709891974925995],1
000001,20200428,[0.5586027503013611],1
000001,20200429,[0.6089615821838379],1
000001,20200430,[0.4896039664745331],0
000002,20181101,[0.47508957982063293],1
000002,20181108,[0.4694860875606537],1
000002,20181113,[0.6326935291290283],1
000002,20181129,[0.482215017080307],0
000002,20181130,[0.6326971650123596],1
000002,20181203,[0.5169637799263],1
000002,20181204,[0.558854877948761],0
000002,20181205,[0.5866266489028931],1
000002,20181213,[0.646445631980896],1
000002,20181214,[0.6327227354049683],0
000002,20181217,[0.6743979454040527],1
000002,20181218,[0.659155011177063],0
000002,20181219,[0.6338775157928467],0
000002,20181220,[0.5899408459663391],0
000002,20181221,[0.5761639475822449],0
000002,20181224,[0.4815857410430908],0
000002,20181226,[0.5758289694786072],0
000002,20181228,[0.4807068109512329],1
000002,20190102,[0.5218870043754578],1
000002,20190103,[0.541914701461792],1
000002,20190104,[0.6338688135147095],1
000002,20190108,[0.559522807598114],0
000002,20190109,[0.5593785643577576],1
000002,20190111,[0.6152302622795105],1
000002,20190114,[0.4718553125858307],0
000002,20190116,[0.5593664050102234],1
000002,20190117,[0.4706030786037445],0
000002,20190121,[0.48263517022132874],0
000002,20190123,[0.5596144199371338],0
000002,20190128,[0.6743127107620239],0
000002,20190129,[0.5374727249145508],1
000002,20190130,[0.6468496322631836],1
000002,20190201,[0.4735546410083771],0
000002,20190211,[0.482634961605072],0
000002,20190212,[0.650298535823822],0
000002,20190215,[0.5595584511756897],0
000002,20190218,[0.6302016973495483],1
000002,20190219,[0.5021995902061462],0
000002,20190220,[0.6399816870689392],1
000002,20190221,[0.641135036945343],0
000002,20190222,[0.6250498294830322],1
000002,20190225,[0.5206626653671265],1
000002,20190226,[0.5554112195968628],0
000002,20190227,[0.555424153804779],1
000002,20190228,[0.6256322264671326],0
000002,20190301,[0.6295933723449707],1
000002,20190304,[0.7027690410614014],1
000002,20190305,[0.5222986936569214],1
000002,20190306,[0.644004225730896],0
000002,20190307,[0.60891193151474],0
000002,20190308,[0.5553206205368042],0
000002,20190311,[0.6336683630943298],1
000002,20190314,[0.5781315565109253],0
000002,20190321,[0.6511499285697937],1
000002,20190325,[0.6514135599136353],0
000002,20190326,[0.5762611627578735],1
000002,20190327,[0.6248053312301636],1
000002,20190403,[0.5329959392547607],1
000002,20190408,[0.6031484007835388],0
000002,20190409,[0.610863208770752],1
000002,20190411,[0.4865320920944214],0
000002,20190412,[0.48730674386024475],0
000002,20190416,[0.6247711181640625],1
000002,20190429,[0.6501724123954773],1
000002,20190508,[0.5349795818328857],0
000002,20190509,[0.6252968311309814],0
000002,20190510,[0.5286858677864075],1
000002,20190516,[0.6254701614379883],1
000002,20190520,[0.6361293792724609],0
000002,20190522,[0.6445335745811462],0
000002,20190524,[0.6448798179626465],1
000002,20190528,[0.6015608906745911],1
000002,20190529,[0.5586081147193909],0
000002,20190530,[0.6656802296638489],0
000002,20190531,[0.5821523666381836],0
000002,20190603,[0.6312512159347534],0
000002,20190604,[0.632952868938446],0
000002,20190605,[0.48221415281295776],1
000002,20190606,[0.47584468126296997],1
000002,20190610,[0.6072865724563599],1
000002,20190611,[0.4719804525375366],1
000002,20190613,[0.6332904100418091],0
000002,20190614,[0.45848363637924194],1
000002,20190617,[0.5358651876449585],0
000002,20190618,[0.4713209569454193],0
000002,20190619,[0.5564182996749878],1
000002,20190624,[0.625435471534729],0
000002,20190625,[0.6111013889312744],0
000002,20190701,[0.6219741702079773],1
000002,20190702,[0.47084999084472656],1
000002,20190703,[0.6381161212921143],1
000002,20190704,[0.5544632077217102],1
000002,20190705,[0.6042225360870361],0
000002,20190708,[0.5652497410774231],0
000002,20190712,[0.6367449760437012],1
000002,20190715,[0.5912693738937378],1
000002,20190717,[0.6479218006134033],1
000002,20190718,[0.5546166300773621],0
000002,20190719,[0.47907859086990356],1
000002,20190723,[0.4793962240219116],0
000002,20190724,[0.6127492785453796],0
000002,20190725,[0.48027291893959045],1
000002,20190729,[0.4684842526912689],0
000002,20190731,[0.47179001569747925],0
000002,20190801,[0.5464977622032166],0
000002,20190802,[0.6384435296058655],0
000002,20190805,[0.6256612539291382],0
000002,20190807,[0.5579533576965332],1
000002,20190808,[0.48336753249168396],1
000002,20190812,[0.47969716787338257],1
000002,20190813,[0.5767178535461426],0
000002,20190815,[0.603513777256012],1
000002,20190816,[0.4794306755065918],0
000002,20190820,[0.6626641750335693],1
000002,20190821,[0.5324873328208923],1
000002,20190822,[0.6641806364059448],0
000002,20190823,[0.6277431845664978],0
000002,20190826,[0.6354231238365173],0
000002,20190827,[0.6433347463607788],1
000002,20190828,[0.6276232600212097],1
000002,20190829,[0.5936585068702698],0
000002,20190902,[0.6348336935043335],1
000002,20190904,[0.6220779418945312],1
000002,20190905,[0.6944260001182556],1
000002,20190909,[0.4588024616241455],1
000002,20190910,[0.5566456317901611],1
000002,20190916,[0.6315752863883972],0
000002,20190919,[0.5859704613685608],0
000002,20190923,[0.6128143668174744],0
000002,20190924,[0.5940632820129395],0
000002,20190926,[0.6579731702804565],1
000002,20190927,[0.5973416566848755],0
000002,20190930,[0.6199231743812561],0
000002,20191008,[0.6335560083389282],1
000002,20191010,[0.5896033048629761],0
000002,20191011,[0.5045070648193359],1
000002,20191014,[0.6365915536880493],1
000002,20191015,[0.6260026693344116],0
000002,20191016,[0.6321977376937866],1
000002,20191017,[0.5173212885856628],1
000002,20191021,[0.5445749163627625],1
000002,20191022,[0.6392458081245422],0
000002,20191023,[0.4804437756538391],0
000002,20191028,[0.6220992207527161],0
000002,20191104,[0.5403206944465637],1
000002,20200303,[0.48036035895347595],0
000002,20200309,[0.5419144034385681],0
000002,20200312,[0.46934741735458374],0
000002,20200313,[0.5420377254486084],0
000002,20200316,[0.4668711721897125],0
000002,20200318,[0.5725864768028259],0
000002,20200319,[0.4802566468715668],0
000002,20200320,[0.5381231307983398],1
000002,20200323,[0.4721214771270752],0
000002,20200325,[0.5377318859100342],1
000002,20200331,[0.5526423454284668],0
000002,20200403,[0.47955402731895447],0
000002,20200407,[0.6061812043190002],1
000002,20200413,[0.5150743126869202],1
000002,20200415,[0.5450679063796997],0
000002,20200421,[0.5790804028511047],0
000002,20200428,[0.45777449011802673],1
000002,20200430,[0.5962842702865601],0
000063,20181102,[0.6794494390487671],1
000063,20181106,[0.627434492111206],1
000063,20181107,[0.7152068018913269],1
000063,20181115,[0.6297692656517029],1
000063,20181123,[0.5405656099319458],0
000063,20181205,[0.5074795484542847],0
000063,20181206,[0.47166529297828674],0
000063,20181210,[0.6225988864898682],1
000063,20181212,[0.6777395606040955],0
000063,20181217,[0.4876534342765808],0
000063,20181219,[0.4866889715194702],0
000063,20181220,[0.5880799889564514],1
000063,20181228,[0.5804793834686279],0
000063,20190107,[0.5515789985656738],1
000063,20190109,[0.6267209649085999],1
000063,20190124,[0.6259399652481079],0
000063,20190211,[0.5078365206718445],1
000063,20190214,[0.6183643937110901],0
000063,20190221,[0.4823774993419647],1
000063,20190226,[0.6780674457550049],0
000063,20190227,[0.5625399947166443],0
000063,20190313,[0.4717545509338379],0
000063,20190315,[0.5261632204055786],1
000063,20190318,[0.6169913411140442],1
000063,20190319,[0.44683998823165894],0
000063,20190320,[0.5968032479286194],0
000063,20190328,[0.5630282759666443],1
000063,20190329,[0.4373004734516144],0
000063,20190401,[0.4961617588996887],1
000063,20190409,[0.514542818069458],1
000063,20190416,[0.6913232803344727],1
000063,20190422,[0.5853849053382874],1
000063,20190423,[0.49745243787765503],0
000063,20190429,[0.6724240183830261],0
000063,20190510,[0.5073151588439941],1
000063,20190515,[0.6220916509628296],1
000063,20190517,[0.6648716926574707],0
